source,category,expression
docs/ARQUITETURA_DUAS_RADIACOES_IMPLEMENTACAO.md,espectral_e_frequencial,E^2(z)=\frac{H^2(z)}{H_0^2}=\Omega_m(1+z)^3+\Omega_r(1+z)^4+\Omega_\Lambda+\Omega_k(1+z)^2
docs/ARQUITETURA_DUAS_RADIACOES_IMPLEMENTACAO.md,geometria_e_toro,H(z)=H_0\sqrt{E^2(z)}
docs/ARQUITETURA_DUAS_RADIACOES_IMPLEMENTACAO.md,geral,F_{fb}(z)=A\left(\frac{1+z}{1+z_p}\right)^\alpha\exp\left[-\left(\frac{1+z}{1+z_c}\right)^\beta\right]
docs/ARQUITETURA_DUAS_RADIACOES_IMPLEMENTACAO.md,geral,"f\sigma_8^{mod}(z)=f\sigma_8^{base}(z)\,[1-S\,F_{fb}(z)]"
docs/BILINGUAL_RLL_HYPOTHESIS_SUMMARY.md,espectral_e_frequencial,f(z)=\frac{1}{1+\exp((z-z_t)/w_t)}
docs/COMPARACAO_DESI_2025.md,espectral_e_frequencial,"w_{RLL}(a) = -f(a),\quad f(a)=\frac{1}{1+\exp\left(\frac{z(a)-z_t}{w_t}\right)},\quad z(a)=a^{-1}-1"
docs/COMPARACAO_DESI_2025.md,geral,w_{CPL}(a)=w_0+w_a(1-a)
docs/COMPARACAO_DESI_2025.md,geral,w_a = -\frac{f_0(1-f_0)}{w_t}
docs/FORMALISMO_RAFAELIA_T7_E_COERENCIA.md,geometria_e_toro,"\mathbb{T}^7=(\mathbb{R}/\mathbb{Z})^7,\quad \mathbf{s}=(u,v,\psi,\chi,\rho,\delta,\sigma)\in[0,1)^7."
docs/FORMALISMO_RAFAELIA_T7_E_COERENCIA.md,dinamica_e_coerencia,"C_{t+1}=(1-\alpha)C_t+\alpha C_{in},\qquad H_{t+1}=(1-\alpha)H_t+\alpha H_{in}."
docs/FORMALISMO_RAFAELIA_T7_E_COERENCIA.md,geometria_e_toro,"\Phi=(1-H)\,C."
docs/FORMALISMO_RAFAELIA_T7_E_COERENCIA.md,geometria_e_toro,"r_n=\left(\frac{\sqrt{3}}{2}\right)^n=\mathrm{Spiral}(n),"
docs/FORMALISMO_RAFAELIA_T7_E_COERENCIA.md,espectral_e_frequencial,"F_{n+1}=F_n\cdot\frac{\sqrt{3}}{2}-\pi\sin(279^\circ), \qquad x_{n+42}=x_n."
docs/FORMALISMO_RAFAELIA_T7_E_COERENCIA.md,espectral_e_frequencial,"S(\omega)=\mathcal{F}[\Psi(t)],"
docs/FORMALISMO_RAFAELIA_T7_E_COERENCIA.md,espectral_e_frequencial,"R=\frac{\int S(\omega)H_{cardio}(\omega)\,d\omega}{\|S\|\,\|H_{cardio}\|}."
docs/FORMALISMO_RAFAELIA_T7_E_COERENCIA.md,espectral_e_frequencial,"\mathcal{I}=\bigotimes_L\left(R_L\cdot\mathcal{F}(G_L)\right), \quad R_L=\frac{\int S_L(\omega)H_{cardio}(\omega)d\omega}{\|S_L\|\,\|H_{cardio}\|}."
docs/FORMALISMO_RAFAELIA_T7_E_COERENCIA.md,integridade_e_criptografia,"h=(h\oplus x)\cdot\varphi,\quad \mathrm{CRC}(x)=\sum x_i\cdot P(x),\quad R=\mathrm{Merkle}(H_1,H_2,\dots)."
docs/FORMALISMO_RAFAELIA_T7_E_COERENCIA.md,geometria_e_toro,"C=M\times N,\quad I\le\log_2(M\times N),\quad \Pi_{max}\approx0.9."
docs/FORMALIZACAO_CONHECIMENTO_MULTILINGUE.md,geral,"\text{Forma} = \{\mathcal{R},\mathcal{E},\mathcal{S}\}\circ\{T,Q,C\}"
