version,item_type,item_id,title,status,priority,metric_name,metric_value,evidence_ref,code_module_ref,results_ref,updated_at,responsavel,sync_new_id
v1.0.0,area,A1,Unificação DE+DM em ρ_superposição,confirmado,alta,precedencia_meses,8,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#-tabela-executiva--quem-fez-antes,docs/Relativity_Living_Light.md,results/RLL_chi2_results.csv,2026-03-05,Equipe RLL,RLL59-009|RLL59-015
v1.0.0,area,A2,Distinção canônica w_sup/w_total,confirmado,alta,consistencia_canonica,1,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#-tabela-executiva--quem-fez-antes,docs/Relativity_Living_Light.md,results/structure_d/model_comparison.csv,2026-03-05,Equipe RLL,RLL59-004
v1.0.0,area,A3,Parametrização z_t e w_t,confirmado,alta,parametros_explicitos,2,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#-tabela-executiva--quem-fez-antes,docs/ARQUITETURA_DUAS_RADIACOES_IMPLEMENTACAO.md,results/RLL_chi2_results.csv,2026-03-05,Equipe RLL,RLL59-005|RLL59-011
v1.0.0,area,A4,Acoplamento magneto-coerente α_B β,confirmado,media,parametros_acoplamento,2,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#-tabela-executiva--quem-fez-antes,docs/MODELO_COSMOLOGICO_UNIFICADO_MAGNETISMO_RADIACAO_PLASMA.md,results/structure_d/model_comparison.csv,2026-03-05,Equipe RLL,
v1.0.0,area,A5,Gravidade plasmática integrada em Friedmann,confirmado,alta,termos_plasma_integrados,1,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#-tabela-executiva--quem-fez-antes,docs/MODELO_COSMOLOGICO_UNIFICADO_MAGNETISMO_RADIACAO_PLASMA.md,results/RLL_chi2_results.csv,2026-03-05,Equipe RLL,RLL59-006|RLL59-007|RLL59-010|RLL59-012
v1.0.0,area,A6,Estrutura fractal Fibonacci,proposto,media,provas_externas,0,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#-tabela-executiva--quem-fez-antes,docs/SUPREMO UNIFICADO.md,results/structure_d/model_comparison.csv,2026-03-05,Equipe RLL,
v1.0.0,area,A7,Origem microfísica por superposição fotônica,em_validacao,alta,confirmacoes_laboratoriais,1,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#-tabela-executiva--quem-fez-antes,docs/Relativity_Living_Light.md,results/RLL_chi2_results.csv,2026-03-05,Equipe RLL,RLL59-003
v1.0.0,area,A8,Campo Φ único para observáveis,proposto,media,observaveis_unificados,4,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#-tabela-executiva--quem-fez-antes,docs/Relativity_Living_Light.md,results/structure_d/model_comparison.csv,2026-03-05,Equipe RLL,
v1.0.0,descoberta,D1,Minnesota confirma transição quente fria da matéria escura,confirmado,alta,significancia_sigma,1.0,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#1️⃣-minnesota-university-janeiro-2026,docs/Relativity_Living_Light.md,results/RLL_chi2_results.csv,2026-03-05,Equipe RLL,RLL59-002
v1.0.0,descoberta,D2,DESI indica w(z) dinâmica,confirmado,alta,significancia_sigma,2.8,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#2️⃣-desi---dark-energy-survey-instrument-dezembro-2025,docs/Results.md,results/structure_d/model_comparison.csv,2026-03-05,Equipe RLL,RLL59-001|RLL59-013
v1.0.0,descoberta,D3,DESI limite superior de significância para w(z),confirmado,alta,significancia_sigma,4.2,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#2️⃣-desi---dark-energy-survey-instrument-dezembro-2025,docs/Results.md,results/structure_d/model_comparison.csv,2026-03-05,Equipe RLL,RLL59-001|RLL59-014
v1.0.0,descoberta,D4,MeerKAT observa alinhamento de spin em filamentos,confirmado,alta,fator_alinhamento,4.0,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#3️⃣-meerkat---spin-alignment-in-filaments-novembro-2025,docs/MODELO_COSMOLOGICO_UNIFICADO_MAGNETISMO_RADIACAO_PLASMA.md,results/structure_d/model_comparison.csv,2026-03-05,Equipe RLL,
v1.0.0,descoberta,D5,Nature confirma pressão como fonte gravitacional,confirmado,alta,confirmacao_gr_local,1,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#4️⃣-nature---plasma-gravity-novembro-2025,docs/MODELO_COSMOLOGICO_UNIFICADO_MAGNETISMO_RADIACAO_PLASMA.md,results/RLL_chi2_results.csv,2026-03-05,Equipe RLL,RLL59-003|RLL59-016
v1.0.0,descoberta,D6,Böhme detecta dipolo cósmico elevado,confirmado,alta,significancia_sigma,4.4,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#5️⃣-böhme-et-al---cosmic-dipole-anomaly-outubro-2025,docs/ROADMAP_VALIDACAO.md,results/structure_d/model_comparison.csv,2026-03-05,Equipe RLL,
v1.0.0,descoberta,D7,Böhme reporta significância estendida da anomalia,confirmado,alta,significancia_sigma,5.4,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#5️⃣-böhme-et-al---cosmic-dipole-anomaly-outubro-2025,docs/ROADMAP_VALIDACAO.md,results/structure_d/model_comparison.csv,2026-03-05,Equipe RLL,RLL59-017
v1.0.0,descoberta,D8,Totani encontra possível sinal gama WIMP,em_validacao,media,eventos_candidatos,1,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#6️⃣-totani---possible-wimp-signal-novembro-2025,docs/REFERENCES.md,results/structure_d/model_comparison.csv,2026-03-05,Equipe RLL,
v1.0.0,descoberta,D9,UBC impõe novos limites de acoplamento elétron áxion,confirmado,media,novos_limites_reportados,1,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#7️⃣-ubc---axion-limits-novembro-2025,docs/REFERENCES.md,results/structure_d/model_comparison.csv,2026-03-05,Equipe RLL,
v1.0.0,descoberta,D10,Phoroutan propõe acúmulo de matéria escura em núcleos planetários,em_validacao,media,conflito_com_rll,0,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#8️⃣-phoroutan---dm-in-planetary-cores-outubro-2025,docs/PLANO_ABCD_JWST_AGN_SMBH.md,results/structure_d/model_comparison.csv,2026-03-05,Equipe RLL,
v1.0.0,descoberta,D11,Framework anisotrópico f(z θ φ) pronto para teste,proposto,alta,status_framework,1,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#5️⃣-böhme-et-al---cosmic-dipole-anomaly-outubro-2025,docs/ROADMAP_VALIDACAO.md,results/structure_d/model_comparison.csv,2026-03-05,Equipe RLL,RLL59-008
v1.0.0,descoberta,D12,Código numérico e CSV publicados para reprodutibilidade,confirmado,alta,artefatos_publicados,2,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#-resumo-executivo,data/posterior_unified_synth.csv,results/RLL_chi2_results.csv,2026-03-05,Equipe RLL,
v1.0.0,descoberta,D13,Gap temporal de antecedência consolidado,confirmado,alta,precedencia_meses,8,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#-veredito-final,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md,results/structure_d/model_comparison.csv,2026-03-05,Equipe RLL,
v1.0.0,descoberta,D14,Oito estudos externos confirmam fragmentos do framework,confirmado,alta,estudos_referenciados,8,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#-metadados-do-documento,docs/canonicos/11_DOCUMENTO_PRIORIDADE.md,results/structure_d/model_comparison.csv,2026-03-05,Equipe RLL,
