domain,dataset,status_in_repo,required_files,rigor_gate,why_it_matters,reference
background,cosmic_chronometers_Hz,partial_or_existing,H_z_table_and_errors,chi2_Hz_with_units_and_covariance_if_available,tests expansion history directly,Hz literature compilation
bao,DESI_DR1_BAO,partial_or_needed,BAO_measurements_covariance_window_function,full_covariance_chi2_and_systematics,near percent distance constraints in seven redshift bins z_0p1_to_4p2,DESI 2024 DR1 BAO
bao,DESI_DR2_BAO,needed,DR2_BAO_measurements_covariance,repeat_model_selection_with_DR2,newer BAO release for stronger dark energy tests,DESI DR2 public products
bao,SDSS_BOSS_eBOSS_DR16,needed,consensus_BAO_RSD_covariances,compare_to_legacy_BAO_RSD_baseline,standard LSS benchmark before DESI,SDSS DR16 cosmology
sne,PantheonPlus,needed,mu_z_covariance_full_systematics,supernova_likelihood_with_covariance,required low redshift distance ladder and dark energy constraints,PantheonPlus 2022
cmb,Planck_2018,needed,plik_or_distance_priors_lensing_covariance,CMB_likelihood_or_distance_prior_gate,standard CMB baseline and parameter priors,Planck 2018 VI
cmb,ACT_DR6_lensing,needed,lensing_bandpowers_covariance,cmb_lensing_growth_gate,late time/high redshift growth cross check,ACT DR6 lensing
cmb,Planck_PR4_lensing,needed,lensing_bandpowers_covariance,compare_ACT_and_Planck_lensing,independent lensing/growth constraint,Planck PR4 lensing
rSD_growth,fsigma8_growth,implemented_minimal,fsigma8_growth_csv_full_covariance,replace_diagonal_only_with_covariance,growth falsification and RLL vs LCDM screening,6dFGS_BOSS_eBOSS
mcmc,model_selection_chains,needed,chain_configs_priors_seeds,MCMC_nested_sampling_reproducibility,turn chi2 screening into statistical evidence,emcee_dynesty_cobaya_MontePython
backend,CLASS_CAMB_native,contract_only,backend_patch_transfer_tables,compare_Cl_and_Pk_against_standard_codes,required for exact CMB Cl and nonlinear Pk,CLASS_CAMB
nonlinear,Halofit_HMcode,needed,nonlinear_backend_flags_and_validation,nonlinear_Pk_comparison_gate,required for nonlinear matter spectrum claims,Halofit_HMcode
provenance,data_hashes_licenses,needed,sha256_license_source_date,chain_of_custody_gate,academic and legal reproducibility,repository_data_policy
